id,county,town,blue,green,blue_rate
6300100,臺北市,松山區,64132,52219,55.119423124855,"馬英九 王建煊",陳水扁
6300200,臺北市,信義區,81892,58844,58.18838108231,"馬英九 王建煊",陳水扁
6300300,臺北市,大安區,106301,71774,59.694510739857,"馬英九 王建煊",陳水扁
6300400,臺北市,中山區,61207,61309,49.958372783963,"馬英九 王建煊",陳水扁
6300500,臺北市,中正區,52898,39251,57.404855180197,"馬英九 王建煊",陳水扁
6300600,臺北市,大同區,31820,45789,41.000399438209,"馬英九 王建煊",陳水扁
6300700,臺北市,萬華區,62079,61288,50.320588163772,"馬英九 王建煊",陳水扁
6300800,臺北市,文山區,88067,50386,63.607866929572,"馬英九 王建煊",陳水扁
6300900,臺北市,南港區,34498,29728,53.71344938187,"馬英九 王建煊",陳水扁
6301000,臺北市,內湖區,74793,58580,56.078066775134,"馬英九 王建煊",陳水扁
6301100,臺北市,士林區,81538,89017,47.807452141538,"馬英九 王建煊",陳水扁
6301200,臺北市,北投區,71604,69887,50.606752372942,"馬英九 王建煊",陳水扁
6400100,高雄市,鹽埕區,8897,9460,48.466525031323,吳敦義,謝長廷
6400200,高雄市,鼓山區,31907,28611,52.723156746753,吳敦義,謝長廷
6400300,高雄市,左營區,45856,30470,60.079134239971,吳敦義,謝長廷
6400400,高雄市,楠梓區,39813,36982,51.843218959568,吳敦義,謝長廷
6400500,高雄市,三民區,82520,96422,46.115501112092,吳敦義,謝長廷
6400600,高雄市,新興區,16491,17510,48.501514661333,吳敦義,謝長廷
6400700,高雄市,前金區,9482,9743,49.321196358908,吳敦義,謝長廷
6400800,高雄市,苓雅區,54061,53893,50.077810919466,吳敦義,謝長廷
6400900,高雄市,前鎮區,49407,57740,46.111417025208,吳敦義,謝長廷
6401000,高雄市,旗津區,8241,9228,47.17499570668,吳敦義,謝長廷
6401100,高雄市,小港區,36557,37738,49.205195504408,吳敦義,謝長廷
