id,1997-1998,1998-2001,2001-2002,2002-2005,2005-2006,2006-2009,2009-2010,縣市,鄉鎮,1994藍代表,1994綠代表,1994藍得票,1994綠得票,1997藍代表,1997綠代表,1997藍得票,1997綠得票,1998藍代表,1998綠代表,1998藍得票,1998綠得票,2001藍代表,2001綠代表,2001藍得票,2001綠得票,2002藍代表,2002綠代表,2002藍得票,2002綠得票,2005藍代表,2005綠代表,2005藍得票,2005綠得票,2006藍代表,2006綠代表,2006藍得票,2006綠得票,2009藍代表,2009綠代表,2009藍得票,2009綠得票,2010藍代表,2010綠代表,2010藍得票,2010綠得票
64000050,76.122082585278,46.115501112092,81.346153846154,45.653651232435,63.983903420523,47.30146120017,63.983903420523,,高雄市,三民區,89853,69583,"吳敦義 湯阿根",張俊雄,848,266,黃鴻都,余政憲,82520,96422,吳敦義,謝長廷,846,194,吳光訓,楊秋興,79273,94367,黃俊英,謝長廷,1272,716,林益世,楊秋興,83357,92868,黃俊英,陳菊,,,,,38444,107543,黃昭順,陳菊
64000060,58.754291319274,48.501514661333,48.501514661333,47.342815530972,47.342815530972,49.468419832411,49.468419832411,,高雄市,新興區,21564,15138,"吳敦義 湯阿根",張俊雄,,,,,16491,17510,吳敦義,謝長廷,,,,,15278,16993,黃俊英,謝長廷,,,,,14936,15257,黃俊英,陳菊,,,,,7075,16625,黃昭順,陳菊
64000070,59.646085785728,49.321196358908,49.321196358908,46.552821997106,46.552821997106,50.065270093865,50.065270093865,,高雄市,前金區,12404,8392,"吳敦義 湯阿根",張俊雄,,,,,9482,9743,吳敦義,謝長廷,,,,,8042,9233,黃俊英,謝長廷,,,,,8054,8033,黃俊英,陳菊,,,,,3813,8707,黃昭順,陳菊
64000080,60.557331111091,50.077810919466,50.077810919466,49.382679872629,49.382679872629,51.415281985373,51.415281985373,,高雄市,苓雅區,66128,43071,"吳敦義 湯阿根",張俊雄,,,,,54061,53893,吳敦義,謝長廷,,,,,50557,51821,黃俊英,謝長廷,,,,,50406,47631,黃俊英,陳菊,,,,,23042,53978,黃昭順,陳菊
64000090,55.335944977847,46.111417025208,46.111417025208,44.224036210999,44.224036210999,46.996351122846,46.996351122846,,高雄市,前鎮區,56078,45263,"吳敦義 湯阿根",張俊雄,,,,,49407,57740,吳敦義,謝長廷,,,,,45725,57669,黃俊英,謝長廷,,,,,47526,53601,黃俊英,陳菊,,,,,23010,64535,黃昭順,陳菊
64000100,59.837370635733,47.17499570668,47.17499570668,43.078953985416,43.078953985416,41.704481879779,41.704481879779,,高雄市,旗津區,10523,7063,"吳敦義 湯阿根",張俊雄,,,,,8241,9228,吳敦義,謝長廷,,,,,6853,9055,黃俊英,謝長廷,,,,,6709,9378,黃俊英,陳菊,,,,,2923,11660,黃昭順,陳菊
64000110,58.50948466894,49.205195504408,49.205195504408,48.324481708139,48.324481708139,47.017592273198,47.017592273198,,高雄市,小港區,37229,26400,"吳敦義 湯阿根",張俊雄,,,,,36557,37738,吳敦義,謝長廷,,,,,35850,38336,黃俊英,謝長廷,,,,,34076,38399,黃俊英,陳菊,,,,,18473,51094,黃昭順,陳菊
65000010,46.532994180528,46.532994180528,45.18141346252,45.18141346252,52.304825092719,52.304825092719,52.304825092719,,臺北縣,板橋市,,,,,85798,98583,"謝深山 楊泰順",蘇貞昌,,,,,115087,139635,王建煊,蘇貞昌,,,,,140326,127959,周錫瑋,羅文嘉,,,,,,,,,154813,156614,朱立倫,蔡英文
65000020,39.939969831778,39.939969831778,39.245691918996,39.245691918996,46.095466559107,46.095466559107,46.095466559107,,臺北縣,三重市,,,,,52162,78439,"謝深山 楊泰順",蘇貞昌,,,,,70988,109893,王建煊,蘇貞昌,,,,,86854,101568,周錫瑋,羅文嘉,,,,,,,,,99364,122948,朱立倫,蔡英文
65000030,58.600760456274,58.600760456274,57.864204954311,57.864204954311,63.061099511532,63.061099511532,63.061099511532,,臺北縣,中和市,,,,,80913,57162,"謝深山 楊泰順",蘇貞昌,,,,,117403,85491,王建煊,蘇貞昌,,,,,130778,76605,周錫瑋,羅文嘉,,,,,,,,,141845,94273,朱立倫,蔡英文
65000040,62.356180919688,62.356180919688,62.924452784066,62.924452784066,67.94886289516,67.94886289516,67.94886289516,,臺北縣,永和市,,,,,49590,29937,"謝深山 楊泰順",蘇貞昌,,,,,73105,43074,王建煊,蘇貞昌,,,,,78131,36854,周錫瑋,羅文嘉,,,,,,,,,83459,43777,朱立倫,蔡英文
65000050,42.589361566077,42.589361566077,41.992693416744,41.992693416744,49.628894621949,49.628894621949,49.628894621949,,臺北縣,新莊市,,,,,46623,62848,"謝深山 楊泰順",蘇貞昌,,,,,68737,94951,王建煊,蘇貞昌,,,,,87528,88837,周錫瑋,羅文嘉,,,,,,,,,100606,113183,朱立倫,蔡英文
65000060,63.519948376761,63.519948376761,64.078290625613,64.078290625613,68.921380291711,68.921380291711,68.921380291711,,臺北縣,新店市,,,,,57093,32789,"謝深山 楊泰順",蘇貞昌,,,,,88198,49443,王建煊,蘇貞昌,,,,,96869,43681,周錫瑋,羅文嘉,,,,,,,,,107063,55823,朱立倫,蔡英文
65000070,42.370628789767,42.370628789767,42.709756168444,42.709756168444,50.420930106654,50.420930106654,50.420930106654,,臺北縣,樹林市,,,,,20404,27752,"謝深山 楊泰順",蘇貞昌,,,,,29392,39426,王建煊,蘇貞昌,,,,,37253,36631,周錫瑋,羅文嘉,,,,,,,,,44134,46522,朱立倫,蔡英文
65000080,48.107163657542,48.107163657542,39.796389303651,39.796389303651,51.020354769504,51.020354769504,51.020354769504,,臺北縣,鶯歌鎮,,,,,12390,13365,"謝深山 楊泰順",蘇貞昌,,,,,14659,22176,王建煊,蘇貞昌,,,,,19501,18721,周錫瑋,羅文嘉,,,,,,,,,22081,23525,朱立倫,蔡英文
65000090,49.508810229222,49.508810229222,43.072042300066,43.072042300066,54.068267513396,54.068267513396,54.068267513396,,臺北縣,三峽鎮,,,,,12700,12952,"謝深山 楊泰順",蘇貞昌,,,,,16292,21533,王建煊,蘇貞昌,,,,,21796,18516,周錫瑋,羅文嘉,,,,,,,,,26574,24879,朱立倫,蔡英文
65000100,60.812994539173,60.812994539173,45.459364603517,45.459364603517,56.269360501136,56.269360501136,56.269360501136,,臺北縣,淡水鎮,,,,,21827,14065,"謝深山 楊泰順",蘇貞昌,,,,,24869,29837,王建煊,蘇貞昌,,,,,32697,25411,周錫瑋,羅文嘉,,,,,,,,,41479,34166,朱立倫,蔡英文
65000110,55.353129775567,55.353129775567,55.661364722908,55.661364722908,59.396946470668,59.396946470668,59.396946470668,,臺北縣,汐止市,,,,,18473,14900,"謝深山 楊泰順",蘇貞昌,,,,,43078,34315,王建煊,蘇貞昌,,,,,48124,32897,周錫瑋,羅文嘉,,,,,,,,,57330,43758,朱立倫,蔡英文
65000120,52.268041237113,52.268041237113,47.011810674008,47.011810674008,57.452270174876,57.452270174876,57.452270174876,,臺北縣,瑞芳鎮,,,,,9633,8797,"謝深山 楊泰順",蘇貞昌,,,,,10588,11934,王建煊,蘇貞昌,,,,,10743,7956,周錫瑋,羅文嘉,,,,,,,,,12580,10847,朱立倫,蔡英文
65000130,46.750670003109,46.750670003109,48.530150753769,48.530150753769,55.115304370303,55.115304370303,55.115304370303,,臺北縣,土城市,,,,,31574,35963,"謝深山 楊泰順",蘇貞昌,,,,,50219,53261,王建煊,蘇貞昌,,,,,59702,48620,周錫瑋,羅文嘉,,,,,,,,,64268,61662,朱立倫,蔡英文
65000140,38.996681133521,38.996681133521,38.962656182228,38.962656182228,46.573980921443,46.573980921443,46.573980921443,,臺北縣,蘆洲市,,,,,18330,28674,"謝深山 楊泰順",蘇貞昌,,,,,27847,43624,王建煊,蘇貞昌,,,,,38424,44077,周錫瑋,羅文嘉,,,,,,,,,44923,57702,朱立倫,蔡英文
65000150,45.64143792351,45.64143792351,42.451903267725,42.451903267725,50.129752905337,50.129752905337,50.129752905337,,臺北縣,五股鄉,,,,,7948,9466,"謝深山 楊泰順",蘇貞昌,,,,,13394,18157,王建煊,蘇貞昌,,,,,17772,17680,周錫瑋,羅文嘉,,,,,,,,,19772,22269,朱立倫,蔡英文
65000160,49.60024600246,49.60024600246,45.087399979395,45.087399979395,52.63697803524,52.63697803524,52.63697803524,,臺北縣,泰山鄉,,,,,9678,9834,"謝深山 楊泰順",蘇貞昌,,,,,13129,15990,王建煊,蘇貞昌,,,,,17446,15698,周錫瑋,羅文嘉,,,,,,,,,20339,20508,朱立倫,蔡英文
65000170,47.066738428418,47.066738428418,43.346956334696,43.346956334696,53.992981914935,53.992981914935,53.992981914935,,臺北縣,林口鄉,,,,,6996,7868,"謝深山 楊泰順",蘇貞昌,,,,,10076,13169,王建煊,蘇貞昌,,,,,14002,11931,周錫瑋,羅文嘉,,,,,,,,,21775,18820,朱立倫,蔡英文
65000180,53.54609929078,53.54609929078,51.632631906292,51.632631906292,56.469267471232,56.469267471232,56.469267471232,,臺北縣,深坑鄉,,,,,3473,3013,"謝深山 楊泰順",蘇貞昌,,,,,4981,4666,王建煊,蘇貞昌,,,,,6036,4653,周錫瑋,羅文嘉,,,,,,,,,6740,5878,朱立倫,蔡英文
65000190,46.318732525629,46.318732525629,33.841851004322,33.841851004322,42.684372776856,42.684372776856,42.684372776856,,臺北縣,石碇鄉,,,,,1491,1728,"謝深山 楊泰順",蘇貞昌,,,,,1331,2602,王建煊,蘇貞昌,,,,,1800,2417,周錫瑋,羅文嘉,,,,,,,,,2105,3093,朱立倫,蔡英文
65000200,39.543889845095,39.543889845095,22.13691618682,22.13691618682,38.057505093955,38.057505093955,38.057505093955,,臺北縣,坪林鄉,,,,,919,1405,"謝深山 楊泰順",蘇貞昌,,,,,692,2434,王建煊,蘇貞昌,,,,,1681,2736,周錫瑋,羅文嘉,,,,,,,,,1691,2886,朱立倫,蔡英文
65000210,75.452570601014,75.452570601014,37.76995528494,37.76995528494,58.039318939793,58.039318939793,58.039318939793,,臺北縣,三芝鄉,,,,,6252,2034,"謝深山 楊泰順",蘇貞昌,,,,,3970,6541,王建煊,蘇貞昌,,,,,6613,4781,周錫瑋,羅文嘉,,,,,,,,,6688,5555,朱立倫,蔡英文
65000220,64.929906542056,64.929906542056,39.688138110265,39.688138110265,57.979953739399,57.979953739399,57.979953739399,,臺北縣,石門鄉,,,,,2779,1501,"謝深山 楊泰順",蘇貞昌,,,,,2138,3249,王建煊,蘇貞昌,,,,,3760,2725,周錫瑋,羅文嘉,,,,,,,,,3985,3324,朱立倫,蔡英文
