id,1997-1998,1998-2001,2001-2002,2002-2005,2005-2006,2006-2009,2009-2010,縣市,鄉鎮,1994藍代表,1994綠代表,1994藍得票,1994綠得票,1997藍代表,1997綠代表,1997藍得票,1997綠得票,1998藍代表,1998綠代表,1998藍得票,1998綠得票,2001藍代表,2001綠代表,2001藍得票,2001綠得票,2002藍代表,2002綠代表,2002藍得票,2002綠得票,2005藍代表,2005綠代表,2005藍得票,2005綠得票,2006藍代表,2006綠代表,2006藍得票,2006綠得票,2009藍代表,2009綠代表,2009藍得票,2009綠得票,2010藍代表,2010綠代表,2010藍得票,2010綠得票
10003130,48.690960764951,48.690960764951,58.154644566923,58.154644566923,80.999020568071,80.999020568071,77.285191956124,,桃園縣,復興鄉,,,,,20216,21303,陳根德,呂秀蓮,,,,,28911,20803,朱立倫,彭紹瑾,,,,,4135,970,朱立倫,鄭寶清,,,,,3382,994,吳志揚,鄭文燦,,,,
10003020,51.149838017268,51.149838017268,63.525277744752,63.525277744752,66.560713260058,66.560713260058,59.606415652372,,桃園縣,中壢市,,,,,32051,30610,陳根德,呂秀蓮,,,,,48088,27611,朱立倫,彭紹瑾,,,,,101979,51233,朱立倫,鄭寶清,,,,,83840,56816,吳志揚,鄭文燦,,,,
10003100,49.093624472139,49.093624472139,58.448989783391,58.448989783391,63.632536207477,63.632536207477,57.01742444868,,桃園縣,平鎮市,,,,,19066,19770,陳根德,呂秀蓮,,,,,28090,19969,朱立倫,彭紹瑾,,,,,52899,30233,朱立倫,鄭寶清,,,,,41885,31575,吳志揚,鄭文燦,,,,
10003040,44.354760687186,44.354760687186,55.738003598351,55.738003598351,60.661341518714,60.661341518714,56.668393590645,,桃園縣,楊梅鎮,,,,,32092,40261,陳根德,呂秀蓮,,,,,48948,38870,朱立倫,彭紹瑾,,,,,34782,22556,朱立倫,鄭寶清,,,,,30627,23419,吳志揚,鄭文燦,,,,
10003090,34.661013319628,34.661013319628,36.40145811871,36.40145811871,65.720474471377,65.720474471377,60.02367523153,,桃園縣,龍潭鄉,,,,,8093,15256,陳根德,呂秀蓮,,,,,9187,16051,朱立倫,彭紹瑾,,,,,31858,16617,朱立倫,鄭寶清,,,,,25860,17223,吳志揚,鄭文燦,,,,
10003110,29.732800336629,29.732800336629,36.698441866697,36.698441866697,47.698744769874,47.698744769874,43.232841565106,,桃園縣,新屋鄉,,,,,7066,16699,陳根德,呂秀蓮,,,,,9586,16535,朱立倫,彭紹瑾,,,,,11400,12500,朱立倫,鄭寶清,,,,,10110,13275,吳志揚,鄭文燦,,,,
10003120,64.897518878101,64.897518878101,76.125567947129,76.125567947129,45.924574209246,45.924574209246,41.588150905355,,桃園縣,觀音鄉,,,,,3008,1627,陳根德,呂秀蓮,,,,,3686,1156,朱立倫,彭紹瑾,,,,,12835,15113,朱立倫,鄭寶清,,,,,10726,15065,吳志揚,鄭文燦,,,,
10004010,43.208393400609,43.208393400609,48.645771439889,48.645771439889,59.866837798813,59.866837798813,48.746662519118,,新竹縣,竹北市,,,,,10790,14182,鄭永金,林光華,,,,,19649,20743,鄭永金,林光華,,,,,29852,20012,鄭永金,林光華,,,,,18805,19772,邱鏡淳,彭紹瑾,,,,
10004020,57.452369228438,57.452369228438,64.002745172283,64.002745172283,74.445284055781,74.445284055781,63.396215976986,,新竹縣,竹東鎮,,,,,15168,11233,鄭永金,林光華,,,,,27045,15211,鄭永金,林光華,,,,,32511,11160,鄭永金,林光華,,,,,22919,13233,邱鏡淳,彭紹瑾,,,,
10004030,39.250108365843,39.250108365843,46.906451954656,46.906451954656,60.477736324434,60.477736324434,43.557356212266,,新竹縣,新埔鎮,,,,,5433,8409,鄭永金,林光華,,,,,8855,10023,鄭永金,林光華,,,,,12482,8157,鄭永金,林光華,,,,,5483,7105,邱鏡淳,彭紹瑾,,,,
10004040,44.726149845604,44.726149845604,47.517519895475,47.517519895475,64.472361809045,64.472361809045,48.662516823688,,新竹縣,關西鎮,,,,,5504,6802,鄭永金,林光華,,,,,8001,8837,鄭永金,林光華,,,,,11547,6363,鄭永金,林光華,,,,,5785,6103,邱鏡淳,彭紹瑾,,,,
10004050,47.093352556511,47.093352556511,53.219105285194,53.219105285194,69.902939545202,69.902939545202,58.543213656894,,新竹縣,湖口鄉,,,,,9146,10275,鄭永金,林光華,,,,,16524,14525,鄭永金,林光華,,,,,25207,10853,鄭永金,林光華,,,,,15295,10831,邱鏡淳,彭紹瑾,,,,
10004060,45.125195618153,45.125195618153,52.91264490469,52.91264490469,67.952690612316,67.952690612316,57.203881125282,,新竹縣,新豐鄉,,,,,5767,7013,鄭永金,林光華,,,,,10909,9708,鄭永金,林光華,,,,,15570,7343,鄭永金,林光華,,,,,9374,7013,邱鏡淳,彭紹瑾,,,,
10004070,49.781593613496,49.781593613496,55.349891396732,55.349891396732,68.084716237279,68.084716237279,53.544661506328,,新竹縣,芎林鄉,,,,,3305,3334,鄭永金,林光華,,,,,5861,4728,鄭永金,林光華,,,,,7426,3481,鄭永金,林光華,,,,,4358,3781,邱鏡淳,彭紹瑾,,,,
10004080,53.687315634218,53.687315634218,55.909874415169,55.909874415169,70.764200072666,70.764200072666,62.507635919365,,新竹縣,橫山鄉,,,,,2912,2512,鄭永金,林光華,,,,,4541,3581,鄭永金,林光華,,,,,5843,2414,鄭永金,林光華,,,,,4093,2455,邱鏡淳,彭紹瑾,,,,
10004090,40.48090523338,40.48090523338,45.482583454282,45.482583454282,65.236125473974,65.236125473974,51.375943186862,,新竹縣,北埔鄉,,,,,1431,2104,鄭永金,林光華,,,,,2507,3005,鄭永金,林光華,,,,,3785,2017,鄭永金,林光華,,,,,2315,2191,邱鏡淳,彭紹瑾,,,,
10004100,52.707877461707,52.707877461707,49.522467512134,49.522467512134,64.47966919366,64.47966919366,56.520223152022,,新竹縣,寶山鄉,,,,,1927,1729,鄭永金,林光華,,,,,3163,3224,鄭永金,林光華,,,,,4678,2577,鄭永金,林光華,,,,,3242,2494,邱鏡淳,彭紹瑾,,,,
10004110,31.959564541213,31.959564541213,40.927806752676,40.927806752676,58.753387533875,58.753387533875,53.11702515494,,新竹縣,峨眉鄉,,,,,822,1750,鄭永金,林光華,,,,,1491,2152,鄭永金,林光華,,,,,2168,1522,鄭永金,林光華,,,,,1457,1286,邱鏡淳,彭紹瑾,,,,
10004120,65.748502994012,65.748502994012,68.595279217041,68.595279217041,84.193768478508,84.193768478508,80.915218162469,,新竹縣,尖石鄉,,,,,1647,858,鄭永金,林光華,,,,,2383,1091,鄭永金,林光華,,,,,3702,695,鄭永金,林光華,,,,,2281,538,邱鏡淳,彭紹瑾,,,,
10004130,50.762527233115,50.762527233115,73.78210806023,73.78210806023,83.49478390462,83.49478390462,84.332688588008,,新竹縣,五峰鄉,,,,,699,678,鄭永金,林光華,,,,,1666,592,鄭永金,林光華,,,,,2241,443,鄭永金,林光華,,,,,1744,324,邱鏡淳,彭紹瑾,,,,
10005010,93.4456398641,93.4456398641,60.206300529691,60.206300529691,52.789035836177,52.789035836177,67.89776114065,,苗栗縣,苗栗市,,,,,19803,1389,"何智輝 黃達業",徐進榮,,,,,10798,7137,徐享崑,魏早炳,,,,,19798,17706,劉政鴻,邱炳坤,,,,,28477,13464,劉政鴻,楊長鎮,,,,
10005090,84.193933197001,84.193933197001,30.75008297378,30.75008297378,49.687292082502,49.687292082502,65.066666666667,,苗栗縣,公館鄉,,,,,9881,1855,"何智輝 黃達業",徐進榮,,,,,3706,8346,徐享崑,魏早炳,,,,,7468,7562,劉政鴻,邱炳坤,,,,,11468,6157,劉政鴻,楊長鎮,,,,
10005120,90.442571127503,90.442571127503,45.262547622992,45.262547622992,54.762767113365,54.762767113365,68.803799346987,,苗栗縣,頭屋鄉,,,,,8583,907,"何智輝 黃達業",徐進榮,,,,,5465,6609,徐享崑,魏早炳,,,,,3024,2498,劉政鴻,邱炳坤,,,,,4636,2102,劉政鴻,楊長鎮,,,,
10005100,89.303646934461,89.303646934461,37.043989737814,37.043989737814,54.731154454402,54.731154454402,69.999081135716,,苗栗縣,銅鑼鄉,,,,,13517,1619,"何智輝 黃達業",徐進榮,,,,,5920,10061,徐享崑,魏早炳,,,,,4153,3435,劉政鴻,邱炳坤,,,,,7618,3265,劉政鴻,楊長鎮,,,,
10005130,87.536626203432,87.536626203432,56.115187289678,56.115187289678,60.77729141796,60.77729141796,71.637776449492,,苗栗縣,三義鄉,,,,,16730,2382,"何智輝 黃達業",徐進榮,,,,,10172,7955,徐享崑,魏早炳,,,,,4582,2957,劉政鴻,邱炳坤,,,,,7191,2847,劉政鴻,楊長鎮,,,,
10005140,90.986547085202,90.986547085202,29.62441314554,29.62441314554,54.493686556078,54.493686556078,74.0080620080507,,苗栗縣,西湖鄉,,,,,6087,603,"何智輝 黃達業",徐進榮,,,,,3155,7495,徐享崑,魏早炳,,,,,2201,1838,劉政鴻,邱炳坤,,,,,3488,1225,劉政鴻,楊長鎮,,,,
10005030,93.181818181818,93.181818181818,53.204411059613,53.204411059613,61.334028139656,61.334028139656,63.068210294191,,苗栗縣,通霄鎮,,,,,5043,369,"何智輝 黃達業",徐進榮,,,,,3329,2928,徐享崑,魏早炳,,,,,10593,6678,劉政鴻,邱炳坤,,,,,12584,7369,劉政鴻,楊長鎮,,,,
10005020,94.497837578087,94.497837578087,69.603642206749,69.603642206749,57.397671798723,57.397671798723,56.131392730782,,苗栗縣,苑裡鎮,,,,,3933,229,"何智輝 黃達業",徐進榮,,,,,2599,1135,徐享崑,魏早炳,,,,,12228,9076,劉政鴻,邱炳坤,,,,,13961,10911,劉政鴻,楊長鎮,,,,
10005060,86.199919061109,86.199919061109,67.183364839319,67.183364839319,79.629345994792,79.629345994792,69.817073170732,,苗栗縣,後龍鎮,,,,,4260,682,"何智輝 黃達業",徐進榮,,,,,3554,1736,徐享崑,魏早炳,,,,,15597,3990,劉政鴻,邱炳坤,,,,,13511,5841,劉政鴻,楊長鎮,,,,
10005150,94.90704879938,94.90704879938,62.942629700796,62.942629700796,67.604070305273,67.604070305273,70.168011641752,,苗栗縣,造橋鄉,,,,,4901,263,"何智輝 黃達業",徐進榮,,,,,2293,1350,徐享崑,魏早炳,,,,,3654,1751,劉政鴻,邱炳坤,,,,,5304,2255,劉政鴻,楊長鎮,,,,
10005040,91.556379036527,91.556379036527,55.457108336689,55.457108336689,69.036144578313,69.036144578313,56.213456547161,,苗栗縣,竹南鎮,,,,,3459,319,"何智輝 黃達業",徐進榮,,,,,1377,1106,徐享崑,魏早炳,,,,,17763,7967,劉政鴻,邱炳坤,,,,,19709,15352,劉政鴻,楊長鎮,,,,
10005050,95.974458634092,95.974458634092,68.476821192053,68.476821192053,69.255560418573,69.255560418573,69.831478981425,,苗栗縣,頭份鎮,,,,,3457,145,"何智輝 黃達業",徐進榮,,,,,2068,952,徐享崑,魏早炳,,,,,17406,7727,劉政鴻,邱炳坤,,,,,30001,12961,劉政鴻,楊長鎮,,,,
10005160,93.532229965157,93.532229965157,59.79597959796,59.79597959796,62.349183818311,62.349183818311,69.352014010508,,苗栗縣,三灣鄉,,,,,4295,297,"何智輝 黃達業",徐進榮,,,,,1993,1340,徐享崑,魏早炳,,,,,1757,1061,劉政鴻,邱炳坤,,,,,2772,1225,劉政鴻,楊長鎮,,,,
10005110,95.720202485044,95.720202485044,71.665043816943,71.665043816943,71.313279530448,71.313279530448,76.578240429819,,苗栗縣,南庄鄉,,,,,2080,93,"何智輝 黃達業",徐進榮,,,,,1472,582,徐享崑,魏早炳,,,,,2916,1173,劉政鴻,邱炳坤,,,,,4561,1395,劉政鴻,楊長鎮,,,,
10005080,94.213020703417,94.213020703417,56.15338882283,56.15338882283,55.985751897166,55.985751897166,66.189952328566,,苗栗縣,大湖鄉,,,,,3777,232,"何智輝 黃達業",徐進榮,,,,,1889,1475,徐享崑,魏早炳,,,,,3615,2842,劉政鴻,邱炳坤,,,,,5415,2766,劉政鴻,楊長鎮,,,,
10005170,90.397350993377,90.397350993377,53.646408839779,53.646408839779,58.780108780109,58.780108780109,62.896507529638,,苗栗縣,獅潭鄉,,,,,1911,203,"何智輝 黃達業",徐進榮,,,,,971,839,徐享崑,魏早炳,,,,,1513,1061,劉政鴻,邱炳坤,,,,,1963,1158,劉政鴻,楊長鎮,,,,
10005070,95.947488584475,95.947488584475,72.830494728305,72.830494728305,48.563629273365,48.563629273365,55.153922542205,,苗栗縣,卓蘭鎮,,,,,1681,71,"何智輝 黃達業",徐進榮,,,,,898,335,徐享崑,魏早炳,,,,,3736,3957,劉政鴻,邱炳坤,,,,,5554,4516,劉政鴻,楊長鎮,,,,
10005180,98.751560549313,98.751560549313,72.54752851711,72.54752851711,84.561011904762,84.561011904762,82.176613556576,,苗栗縣,泰安鄉,,,,,1582,20,"何智輝 黃達業",徐進榮,,,,,954,361,徐享崑,魏早炳,,,,,2273,415,劉政鴻,邱炳坤,,,,,3043,660,劉政鴻,楊長鎮,,,,
66000090,50.702230811522,50.702230811522,48.093520252066,48.093520252066,57.244714660771,57.244714660771,57.244714660771,,臺中縣,豐原市,,,,,30433,29590,"郭榮振 徐中雄",廖永來,,,,,31596,34101,黃仲生,廖永來,,,,,41428,30942,黃仲生,邱太三,,,,,,,,,41722,48945,胡志強,蘇嘉全
66000280,60.714285714286,60.714285714286,55.378083299636,55.378083299636,59.034577822859,59.034577822859,59.034577822859,,臺中縣,大里市,,,,,15181,9823,"郭榮振 徐中雄",廖永來,,,,,13695,11035,黃仲生,廖永來,,,,,45397,31502,黃仲生,邱太三,,,,,,,,,50848,53209,胡志強,蘇嘉全
66000270,63.284399482772,63.284399482772,58.467086880239,58.467086880239,60.72816412942,60.72816412942,60.72816412942,,臺中縣,太平市,,,,,16640,9654,"郭榮振 徐中雄",廖永來,,,,,17995,12783,黃仲生,廖永來,,,,,43601,28196,黃仲生,邱太三,,,,,,,,,46614,45504,胡志強,蘇嘉全
66000100,65.89414168556,65.89414168556,64.017449586872,64.017449586872,64.694344557045,64.694344557045,64.694344557045,,臺中縣,東勢鎮,,,,,23542,12185,"郭榮振 徐中雄",廖永來,,,,,22159,12455,黃仲生,廖永來,,,,,17811,9720,黃仲生,邱太三,,,,,,,,,15982,15690,胡志強,蘇嘉全
66000110,67.56345895496,67.56345895496,65.352613567738,65.352613567738,55.153937980622,55.153937980622,55.153937980622,,臺中縣,大甲鎮,,,,,19111,9175,"郭榮振 徐中雄",廖永來,,,,,19479,10327,黃仲生,廖永來,,,,,19867,16154,黃仲生,邱太三,,,,,,,,,21969,22797,胡志強,蘇嘉全
66000120,56.417983885848,56.417983885848,77.621714778113,77.621714778113,57.73932485965,57.73932485965,57.73932485965,,臺中縣,清水鎮,,,,,9173,7086,"郭榮振 徐中雄",廖永來,,,,,18016,5194,黃仲生,廖永來,,,,,23758,17389,黃仲生,邱太三,,,,,,,,,24064,26316,胡志強,蘇嘉全
66000130,62.166511391547,62.166511391547,58.970804110259,58.970804110259,61.784863370297,61.784863370297,61.784863370297,,臺中縣,沙鹿鎮,,,,,14680,8934,"郭榮振 徐中雄",廖永來,,,,,14462,10062,黃仲生,廖永來,,,,,21005,12992,黃仲生,邱太三,,,,,,,,,23675,22193,胡志強,蘇嘉全
66000140,53.785890400064,53.785890400064,46.805424898087,46.805424898087,66.851788885111,66.851788885111,66.851788885111,,臺中縣,梧棲鎮,,,,,13525,11621,"郭榮振 徐中雄",廖永來,,,,,11941,13571,黃仲生,廖永來,,,,,17695,8774,黃仲生,邱太三,,,,,,,,,15906,15009,胡志強,蘇嘉全
66000150,55.83185898696,55.83185898696,49.220088626292,49.220088626292,62.40522664946,62.40522664946,62.40522664946,,臺中縣,后里鄉,,,,,17041,13481,"郭榮振 徐中雄",廖永來,,,,,16661,17189,黃仲生,廖永來,,,,,15474,9322,黃仲生,邱太三,,,,,,,,,15123,16244,胡志強,蘇嘉全
66000160,58.356545961003,58.356545961003,53.807490144547,53.807490144547,56.677878571671,56.677878571671,56.677878571671,,臺中縣,神岡鄉,,,,,15503,11063,"郭榮振 徐中雄",廖永來,,,,,16379,14061,黃仲生,廖永來,,,,,16682,12751,黃仲生,邱太三,,,,,,,,,15297,20891,胡志強,蘇嘉全
66000170,72.041876930029,72.041876930029,54.753648899282,54.753648899282,60.562645875751,60.562645875751,60.562645875751,,臺中縣,潭子鄉,,,,,9565,3712,"郭榮振 徐中雄",廖永來,,,,,6790,5611,黃仲生,廖永來,,,,,24391,15883,黃仲生,邱太三,,,,,,,,,26718,27451,胡志強,蘇嘉全
66000180,61.746511293339,61.746511293339,60.781008568619,60.781008568619,63.795913615461,63.795913615461,63.795913615461,,臺中縣,大雅鄉,,,,,4292,2659,"郭榮振 徐中雄",廖永來,,,,,4327,2792,黃仲生,廖永來,,,,,21919,12439,黃仲生,邱太三,,,,,,,,,24382,22614,胡志強,蘇嘉全
66000190,69.611244551197,69.611244551197,69.073315965761,69.073315965761,62.451507012832,62.451507012832,62.451507012832,,臺中縣,新社鄉,,,,,7825,3416,"郭榮振 徐中雄",廖永來,,,,,9280,4155,黃仲生,廖永來,,,,,8371,5033,黃仲生,邱太三,,,,,,,,,7244,8346,胡志強,蘇嘉全
66000200,78.749861219052,78.749861219052,67.45531563178,67.45531563178,64.605543710021,64.605543710021,64.605543710021,,臺中縣,石岡鄉,,,,,7093,1914,"郭榮振 徐中雄",廖永來,,,,,6529,3150,黃仲生,廖永來,,,,,5151,2822,黃仲生,邱太三,,,,,,,,,5028,4494,胡志強,蘇嘉全
66000210,60.97643524982,60.97643524982,49.96353586919,49.96353586919,65.271845780907,65.271845780907,65.271845780907,,臺中縣,外埔鄉,,,,,14413,9224,"郭榮振 徐中雄",廖永來,,,,,13017,13036,黃仲生,廖永來,,,,,11309,6017,黃仲生,邱太三,,,,,,,,,10370,8987,胡志強,蘇嘉全
66000220,64.807191861841,64.807191861841,54.639561571971,54.639561571971,60.14948859166,60.14948859166,60.14948859166,,臺中縣,大安鄉,,,,,13697,7438,"郭榮振 徐中雄",廖永來,,,,,11665,9684,黃仲生,廖永來,,,,,6116,4052,黃仲生,邱太三,,,,,,,,,6307,6790,胡志強,蘇嘉全
66000230,57.750950145316,57.750950145316,56.164383561644,56.164383561644,58.912293668391,58.912293668391,58.912293668391,,臺中縣,烏日鄉,,,,,12916,9449,"郭榮振 徐中雄",廖永來,,,,,12587,9824,黃仲生,廖永來,,,,,19130,13342,黃仲生,邱太三,,,,,,,,,18827,20063,胡志強,蘇嘉全
66000240,63.055203045685,63.055203045685,52.086330935252,52.086330935252,57.764925373134,57.764925373134,57.764925373134,,臺中縣,大肚鄉,,,,,15900,9316,"郭榮振 徐中雄",廖永來,,,,,14118,12987,黃仲生,廖永來,,,,,15481,11319,黃仲生,邱太三,,,,,,,,,16783,15723,胡志強,蘇嘉全
66000250,52.280695445801,52.280695445801,48.76366749035,48.76366749035,61.085846000498,61.085846000498,61.085846000498,,臺中縣,龍井鄉,,,,,29078,26541,"郭榮振 徐中雄",廖永來,,,,,30193,31724,黃仲生,廖永來,,,,,19611,12493,黃仲生,邱太三,,,,,,,,,20940,20292,胡志強,蘇嘉全
66000260,48.751777531996,48.751777531996,47.604634809991,47.604634809991,60.551948051948,60.551948051948,60.551948051948,,臺中縣,霧峰鄉,,,,,24684,25948,"郭榮振 徐中雄",廖永來,,,,,31142,34276,黃仲生,廖永來,,,,,19396,12636,黃仲生,邱太三,,,,,,,,,18711,19486,胡志強,蘇嘉全
66000290,79.290928050052,79.290928050052,66.839939354559,66.839939354559,76.797165035437,76.797165035437,76.797165035437,,臺中縣,和平鄉,,,,,3802,993,"郭榮振 徐中雄",廖永來,,,,,3086,1531,黃仲生,廖永來,,,,,4551,1375,黃仲生,邱太三,,,,,,,,,4237,2104,胡志強,蘇嘉全
10007010,53.22635711847,53.22635711847,50.336734594998,50.336734594998,59.144884479453,59.144884479453,57.363076809671,,彰化縣,彰化市,,,,,49888,43840,阮剛猛,翁金珠,,,,,51946,51251,"葉金鳳 鄭秀珠",翁金珠,,,,,65099,44968,卓伯源,翁金珠,,,,,62255,46273,卓伯源,翁金珠,,,,
10007080,47.575682313657,47.575682313657,45.395277343439,45.395277343439,60.069064263455,60.069064263455,60.177459939081,,彰化縣,花壇鄉,,,,,17240,18997,阮剛猛,翁金珠,,,,,17129,20604,"葉金鳳 鄭秀珠",翁金珠,,,,,14264,9482,卓伯源,翁金珠,,,,,13632,9021,卓伯源,翁金珠,,,,
10007090,53.519671479666,53.519671479666,51.785984180563,51.785984180563,47.998022738507,47.998022738507,49.384741591468,,彰化縣,芬園鄉,,,,,20201,17544,阮剛猛,翁金珠,,,,,20558,19140,"葉金鳳 鄭秀珠",翁金珠,,,,,6797,7364,卓伯源,翁金珠,,,,,7224,7404,卓伯源,翁金珠,,,,
10007020,59.057009227658,59.057009227658,58.463929542805,58.463929542805,51.898435038336,51.898435038336,52.818419250957,,彰化縣,鹿港鎮,,,,,4672,3239,阮剛猛,翁金珠,,,,,4514,3207,"葉金鳳 鄭秀珠",翁金珠,,,,,19765,18319,卓伯源,翁金珠,,,,,20830,18607,卓伯源,翁金珠,,,,
10007060,48.921823417855,48.921823417855,49.208756428854,49.208756428854,52.020450299872,52.020450299872,55.337690631808,,彰化縣,福興鄉,,,,,6965,7272,阮剛猛,翁金珠,,,,,7463,7703,"葉金鳳 鄭秀珠",翁金珠,,,,,10582,9760,卓伯源,翁金珠,,,,,15240,12300,卓伯源,翁金珠,,,,
10007070,49.441314553991,49.441314553991,47.751012577276,47.751012577276,53.469192295413,53.469192295413,55.280285534327,,彰化縣,秀水鄉,,,,,10531,10769,阮剛猛,翁金珠,,,,,11200,12255,"葉金鳳 鄭秀珠",翁金珠,,,,,10049,8745,卓伯源,翁金珠,,,,,10532,8520,卓伯源,翁金珠,,,,
10007030,46.392705316986,46.392705316986,44.266131728519,44.266131728519,58.342491869463,58.342491869463,57.323792860314,,彰化縣,和美鎮,,,,,7530,8701,阮剛猛,翁金珠,,,,,7944,10002,"葉金鳳 鄭秀珠",翁金珠,,,,,26012,18573,卓伯源,翁金珠,,,,,21951,16342,卓伯源,翁金珠,,,,
10007040,53.213959963516,53.213959963516,52.789338321253,52.789338321253,64.267015706806,64.267015706806,66.028653295129,,彰化縣,線西鄉,,,,,11085,9746,阮剛猛,翁金珠,,,,,11289,10096,"葉金鳳 鄭秀珠",翁金珠,,,,,5892,3276,卓伯源,翁金珠,,,,,5761,2964,卓伯源,翁金珠,,,,
10007050,47.959422551697,47.959422551697,38.945839050771,38.945839050771,61.433589331428,61.433589331428,62.16073316884,,彰化縣,伸港鄉,,,,,6146,6669,阮剛猛,翁金珠,,,,,4825,7564,"葉金鳳 鄭秀珠",翁金珠,,,,,10319,6478,卓伯源,翁金珠,,,,,10581,6441,卓伯源,翁金珠,,,,
10007100,51.385400015224,51.385400015224,55.180814894275,55.180814894275,60.6239647547,60.6239647547,55.259530597987,,彰化縣,員林鎮,,,,,27002,25546,阮剛猛,翁金珠,,,,,30350,24651,"葉金鳳 鄭秀珠",翁金珠,,,,,35502,23059,卓伯源,翁金珠,,,,,29266,23695,卓伯源,翁金珠,,,,
10007130,52.547572654533,52.547572654533,51.3667610001905,51.366761019005,59.47752126367,59.47752126367,59.507891275756,,彰化縣,大村鄉,,,,,12675,11446,阮剛猛,翁金珠,,,,,12703,12027,"葉金鳳 鄭秀珠",翁金珠,,,,,10769,7337,卓伯源,翁金珠,,,,,10859,7389,卓伯源,翁金珠,,,,
10007160,51.08568212728,51.08568212728,51.823540246823,51.823540246823,60.218239273194,60.218239273194,54.425244968918,,彰化縣,永靖鄉,,,,,10893,10430,阮剛猛,翁金珠,,,,,11254,10462,"葉金鳳 鄭秀珠",翁金珠,,,,,12196,8057,卓伯源,翁金珠,,,,,10331,8651,卓伯源,翁金珠,,,,
10007110,50.100960655938,50.100960655938,52.097461441517,52.097461441517,59.924547104673,59.924547104673,55.797703580601,,彰化縣,溪湖鎮,,,,,8188,8155,阮剛猛,翁金珠,,,,,8681,7982,"葉金鳳 鄭秀珠",翁金珠,,,,,16837,11260,卓伯源,翁金珠,,,,,14773,11703,卓伯源,翁金珠,,,,
10007140,56.581234927934,56.581234927934,53.89077126285,53.89077126285,61.026726647261,61.026726647261,62.354448715806,,彰化縣,埔鹽鄉,,,,,10089,7742,阮剛猛,翁金珠,,,,,9384,8029,"葉金鳳 鄭秀珠",翁金珠,,,,,11531,7364,卓伯源,翁金珠,,,,,11192,6757,卓伯源,翁金珠,,,,
10007150,45.803958785249,45.803958785249,45.772787318362,45.772787318362,56.559751408859,56.559751408859,51.163623344074,,彰化縣,埔心鄉,,,,,6757,7995,阮剛猛,翁金珠,,,,,7623,9031,"葉金鳳 鄭秀珠",翁金珠,,,,,10739,8248,卓伯源,翁金珠,,,,,8574,8184,卓伯源,翁金珠,,,,
10007120,47.395861917568,47.395861917568,50.52064445941,50.52064445941,63.384182529564,63.384182529564,59.652716808116,,彰化縣,田中鎮,,,,,8636,9585,阮剛猛,翁金珠,,,,,9752,9551,"葉金鳳 鄭秀珠",翁金珠,,,,,14418,8329,卓伯源,翁金珠,,,,,12230,8272,卓伯源,翁金珠,,,,
10007170,48.296989579313,48.296989579313,50.349976668222,50.349976668222,56.326776050168,56.326776050168,52.190213101815,,彰化縣,社頭鄉,,,,,10011,10717,阮剛猛,翁金珠,,,,,10790,10640,"葉金鳳 鄭秀珠",翁金珠,,,,,13114,10168,卓伯源,翁金珠,,,,,10580,9692,卓伯源,翁金珠,,,,
10007180,48.710245519528,48.710245519528,45.552731893266,45.552731893266,53.148640359845,53.148640359845,48.391890457489,,彰化縣,二水鄉,,,,,4702,4951,阮剛猛,翁金珠,,,,,4302,5142,"葉金鳳 鄭秀珠",翁金珠,,,,,5199,4583,卓伯源,翁金珠,,,,,4559,4862,卓伯源,翁金珠,,,,
10007190,48.333448825445,48.333448825445,46.71453437772,46.71453437772,58.067173637516,58.067173637516,54.450200141276,,彰化縣,北斗鎮,,,,,6975,7456,阮剛猛,翁金珠,,,,,6441,7347,"葉金鳳 鄭秀珠",翁金珠,,,,,9163,6617,卓伯源,翁金珠,,,,,9250,7738,卓伯源,翁金珠,,,,
10007260,56.294106051646,56.294106051646,52.771026734133,52.771026734133,47.024766806047,47.024766806047,43.53767080356,,彰化縣,溪州鄉,,,,,14279,11086,阮剛猛,翁金珠,,,,,13245,11854,"葉金鳳 鄭秀珠",翁金珠,,,,,7310,8235,卓伯源,翁金珠,,,,,6946,9008,卓伯源,翁金珠,,,,
10007210,55.671926969075,55.671926969075,48.892334957909,48.892334957909,60.532528856243,60.532528856243,56.662704701532,,彰化縣,田尾鄉,,,,,7867,6264,阮剛猛,翁金珠,,,,,6621,6921,"葉金鳳 鄭秀珠",翁金珠,,,,,9230,6018,卓伯源,翁金珠,,,,,8581,6563,卓伯源,翁金珠,,,,
10007220,44.285999866729,44.285999866729,43.744436074779,43.744436074779,55.963361516782,55.963361516782,50.988064957934,,彰化縣,埤頭鄉,,,,,6646,8361,阮剛猛,翁金珠,,,,,6388,8215,"葉金鳳 鄭秀珠",翁金珠,,,,,8737,6875,卓伯源,翁金珠,,,,,7818,7515,卓伯源,翁金珠,,,,
10007200,41.293704279707,41.293704279707,46.410328374965,46.410328374965,61.588184448871,61.588184448871,58.502706567256,,彰化縣,二林鎮,,,,,7169,10192,阮剛猛,翁金珠,,,,,8268,9547,"葉金鳳 鄭秀珠",翁金珠,,,,,16388,10221,卓伯源,翁金珠,,,,,17184,12189,卓伯源,翁金珠,,,,
