id,county,town,blue,green,blue_rate
6301200,臺北市,北投區,61093,56034,52.159621607315,郝龍斌,謝長廷
6301100,臺北市,士林區,67961,70610,49.044172301564,郝龍斌,謝長廷
6301000,臺北市,內湖區,70189,47791,59.492286828276,郝龍斌,謝長廷
6300900,臺北市,南港區,29887,22365,57.19781061012,郝龍斌,謝長廷
6300100,臺北市,松山區,57334,38405,59.885730997817,郝龍斌,謝長廷
6300200,臺北市,信義區,66485,42068,61.246580011607,郝龍斌,謝長廷
6300400,臺北市,中山區,52794,48711,52.011230973844,郝龍斌,謝長廷
6300600,臺北市,大同區,24832,35652,41.055485748297,郝龍斌,謝長廷
6300500,臺北市,中正區,42997,27589,60.914345620945,郝龍斌,謝長廷
6300700,臺北市,萬華區,47822,46339,50.787481016557,郝龍斌,謝長廷
6300300,臺北市,大安區,90382,51527,63.690111268489,郝龍斌,謝長廷
6300800,臺北市,文山區,80309,38778,67.437251757119,郝龍斌,謝長廷
6400100,高雄市,鹽埕區,7214,9115,44.179067915978,黃俊英,陳菊
6400200,高雄市,鼓山區,31893,30092,51.452770831653,黃俊英,陳菊
6401000,高雄市,旗津區,6709,9378,41.704481879779,黃俊英,陳菊
6400300,高雄市,左營區,52772,36434,59.157455776517,黃俊英,陳菊
6400400,高雄市,楠梓區,41360,38609,51.720041516087,黃俊英,陳菊
6400500,高雄市,三民區,83357,92868,47.30146120017,黃俊英,陳菊
6400600,高雄市,新興區,14936,15257,49.468419832411,黃俊英,陳菊
6400700,高雄市,前金區,8054,8033,50.065270093865,黃俊英,陳菊
6400800,高雄市,苓雅區,50406,47631,51.415281985373,黃俊英,陳菊
6400900,高雄市,前鎮區,47526,53601,46.996351122846,黃俊英,陳菊
6401100,高雄市,小港區,34076,38399,47.017592273198,黃俊英,陳菊
