村里,當選人,落選人,偏藍比率,藍得票數,綠得票數,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
桃園縣桃園市中信里,吳志揚,鄭文燦,0.52531351602415,1131,1022,10003,10003010,062,3910
桃園縣桃園市中原里,吳志揚,鄭文燦,0.56941309255079,1009,763,10003,10003010,065,3927
桃園縣桃園市中泰里,吳志揚,鄭文燦,0.62617407639324,1000,597,10003,10003010,066,4013
桃園縣桃園市中聖里,吳志揚,鄭文燦,0.67064168086315,1181,580,10003,10003010,070,3922
桃園縣桃園市中路里,吳志揚,鄭文燦,0.55434122647237,913,734,10003,10003010,054,3912
桃園縣桃園市中德里,鄭文燦,吳志揚,0.48227502921698,1238,1329,10003,10003010,055,4021
桃園縣桃園市文中里,吳志揚,鄭文燦,0.51474530831099,768,724,10003,10003010,052,3958
桃園縣桃園市玉山里,鄭文燦,吳志揚,0.43956989247312,1022,1303,10003,10003010,028,3941
桃園縣桃園市泰山里,鄭文燦,吳志揚,0.48189252336449,825,887,10003,10003010,053,3942
桃園縣桃園市龍山里,吳志揚,鄭文燦,0.57101280558789,981,737,10003,10003010,035,3921
桃園縣桃園市龍安里,吳志揚,鄭文燦,0.51306413301663,864,820,10003,10003010,060,3960
桃園縣桃園市龍岡里,吳志揚,鄭文燦,0.63321799307958,1281,742,10003,10003010,036,3914
桃園縣桃園市龍祥里,吳志揚,鄭文燦,0.63879369431117,932,527,10003,10003010,056,3918
桃園縣桃園市龍壽里,吳志揚,鄭文燦,0.51900237529691,874,810,10003,10003010,071,3947
桃園縣桃園市龍鳳里,吳志揚,鄭文燦,0.57454850902982,1368,1013,10003,10003010,059,3944
桃園縣桃園市中埔里,鄭文燦,吳志揚,0.35776201733649,454,815,10003,10003010,017,3838
桃園縣桃園市中寧里,吳志揚,鄭文燦,0.55628703094141,845,674,10003,10003010,049,3864
桃園縣桃園市北埔里,吳志揚,鄭文燦,0.52293577981651,741,676,10003,10003010,069,3900
桃園縣桃園市永安里,鄭文燦,吳志揚,0.39500219202104,901,1380,10003,10003010,011,3955
桃園縣桃園市同安里,吳志揚,鄭文燦,0.50960530911631,1459,1404,10003,10003010,050,3834
桃園縣桃園市同德里,吳志揚,鄭文燦,0.5665548098434,1013,775,10003,10003010,072,3854
桃園縣桃園市自強里,吳志揚,鄭文燦,0.57828571428571,1518,1107,10003,10003010,061,3829
桃園縣桃園市西埔里,鄭文燦,吳志揚,0.3251572327044,517,1073,10003,10003010,018,3889
桃園縣桃園市明德里,吳志揚,鄭文燦,0.5479674796748,674,556,10003,10003010,073,3832
桃園縣桃園市東埔里,鄭文燦,吳志揚,0.42394678492239,956,1299,10003,10003010,012,3851
桃園縣桃園市長安里,鄭文燦,吳志揚,0.43894993894994,719,919,10003,10003010,016,3850
