村里,當選人,落選人,偏藍比率,藍得票數,綠得票數,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
宜蘭縣蘇澳鎮蘇北里,呂國華,林聰賢,0.51258278145695,387,368,10002,10002030,011,307
宜蘭縣蘇澳鎮蘇南里,林聰賢,呂國華,0.48618784530387,176,186,10002,10002030,012,308
宜蘭縣蘇澳鎮蘇東里,林聰賢,呂國華,0.48823529411765,166,174,10002,10002030,013,309
宜蘭縣蘇澳鎮長安里,呂國華,林聰賢,0.54731457800512,214,177,10002,10002030,014,310
宜蘭縣蘇澳鎮永光里,呂國華,林聰賢,0.52698412698413,166,149,10002,10002030,015,311
宜蘭縣蘇澳鎮永春里,林聰賢,呂國華,0.4392523364486,188,240,10002,10002030,016,312
宜蘭縣蘇澳鎮永樂里,林聰賢,呂國華,0.45614035087719,156,186,10002,10002030,017,313
宜蘭縣蘇澳鎮南安里,林聰賢,呂國華,0.4746835443038,375,415,10002,10002030,018,318
宜蘭縣蘇澳鎮南正里,林聰賢,呂國華,0.39625585023401,254,387,10002,10002030,019,319
宜蘭縣蘇澳鎮南成里,林聰賢,呂國華,0.43688118811881,353,455,10002,10002030,020,320
宜蘭縣蘇澳鎮南興里,林聰賢,呂國華,0.47192118226601,479,536,10002,10002030,021,321
宜蘭縣蘇澳鎮南寧里,林聰賢,呂國華,0.43994601889339,326,415,10002,10002030,022,322
宜蘭縣蘇澳鎮南建里,林聰賢,呂國華,0.40229885057471,350,520,10002,10002030,023,323
宜蘭縣蘇澳鎮東澳里,呂國華,林聰賢,0.54310344827586,126,106,10002,10002030,024,324
宜蘭縣蘇澳鎮南強里,林聰賢,呂國華,0.40461215932914,193,284,10002,10002030,025,325
宜蘭縣蘇澳鎮朝陽里,林聰賢,呂國華,0.33031674208145,146,296,10002,10002030,026,326
宜蘭縣頭城鎮石城里,呂國華,林聰賢,0.55348837209302,119,96,10002,10002040,001,327
宜蘭縣頭城鎮大里里,呂國華,林聰賢,0.58878504672897,252,176,10002,10002040,002,328
宜蘭縣頭城鎮龜山里,呂國華,林聰賢,0.518779342723,221,205,10002,10002040,024,349
宜蘭縣頭城鎮大溪里,林聰賢,呂國華,0.49834437086093,301,303,10002,10002040,003,329
